Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
length of the field is not in range,MO-44,10043,Bug,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,17/Feb/22 2:11 PM,18/Feb/22 4:36 PM,21/Feb/22 9:52 AM,,,0,"Bug associaed with the following fields:

* phone
* email
* name
* password

*Steps to reproduce:*

i) Navigate to the [http://elearningm1.upskills.in/|http://elearningm1.upskills.in/|smart-link]

ii) Input the values out of range

iii) click on signup button

*Expected result:*

Validation message should be appeared.

*Actual result:*

invalid values are getting accepted.",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,MO-1,MO-27,MO-32,MO-5,MO-26,MO-14,MO-18,,,,,,,{},,,,0|i0008d:i,,Signup sprint,,,,,,,,To Do
Mandatory fields are accepting blank values,MO-45,10044,Bug,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,17/Feb/22 2:37 PM,18/Feb/22 4:07 PM,21/Feb/22 9:52 AM,,,0,"

*Steps to reproduce:*

i) Navigate to the [http://elearningm1.upskills.in/|http://elearningm1.upskills.in/|smart-link]

ii) Leave the field blank.

iii) click to signup button

*Expected result:*

validation message should be appeared

*Actual result:*

blank value is accepted by phone no. field.",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,MO-1,MO-29,,,,,,,,,,,,{},,,,0|i0008e:i,,Signup sprint,,,,,,,,To Do
accepting the starting digit of phone number <6.,MO-46,10045,Bug,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,17/Feb/22 2:41 PM,21/Feb/22 9:53 AM,21/Feb/22 9:52 AM,,,0,"*Steps to reproduce:*

i) Navigate to the [http://elearningm1.upskills.in/|http://elearningm1.upskills.in/]

ii) Input ‘5432617892’

iii) click on signup button

*Expected result:*

Validation message should be appeared.

*Actual result:*

phone no. starting with digit <6 is getting accepted",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,MO-1,MO-30,,,,,,,,,,,,{},,,,0|i0008e:r,,Signup sprint,,,,,,,,To Do
As a registered user I want to subscribe the courses,MO-47,10046,Story,Blocked,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,17/Feb/22 4:35 PM,18/Feb/22 2:33 PM,18/Feb/22 2:29 PM,,,0,"Requirements:

* Fetched result should be related with search value.
* Result should be fetched category wise.
* Each row should have 3 course.
* User can subscribe to the course with subscribe button.
* user should able to rate the course.",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008n:,,Signup sprint,,,,,,,,In Progress
Verify the search bar with blank value,MO-48,10047,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:32 PM,18/Feb/22 2:29 PM,18/Feb/22 2:32 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0008v:,,Signup sprint,,,,,,,,Done
Verify the field with case sensitivity,MO-49,10048,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:32 PM,18/Feb/22 2:29 PM,18/Feb/22 2:32 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i00093:,,Signup sprint,,,,,,,,Done
Verify the fetched result with search value,MO-50,10049,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:32 PM,18/Feb/22 2:29 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0009b:,,Signup sprint,,,,,,,,In Progress
verify the result with category wise search,MO-51,10050,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:58 PM,18/Feb/22 2:58 PM,18/Feb/22 2:32 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0009f:,,Signup sprint,,,,,,,,Done
verify the dropdown property of category search,MO-52,10051,Test,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:59 PM,18/Feb/22 3:13 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0009h:,,Signup sprint,,,,,,,,To Do
verify the course cards no. in one row,MO-53,10052,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:35 PM,18/Feb/22 2:35 PM,18/Feb/22 2:32 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0009j:,,Signup sprint,,,,,,,,Done
verify the hover property of course card,MO-54,10053,Test,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:59 PM,18/Feb/22 2:59 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0009k:,,Signup sprint,,,,,,,,To Do
verify the subscribe button with click property,MO-55,10054,Test,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:58 PM,18/Feb/22 2:58 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0009l:i,,Signup sprint,,,,,,,,To Do
verify the nevigation of pagination button,MO-56,10055,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:58 PM,18/Feb/22 2:58 PM,18/Feb/22 2:32 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0009m:,,Signup sprint,,,,,,,,Done
verify the pop-up after click on I button,MO-57,10056,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:58 PM,18/Feb/22 3:14 PM,18/Feb/22 2:32 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0009m:i,,Signup sprint,,,,,,,,Done
verify the pop-up disapear property,MO-58,10057,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:04 AM,18/Feb/22 2:36 PM,18/Feb/22 2:36 PM,18/Feb/22 2:32 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-47,,,,,,,,,,,,{},,,,0|i0009n:,,Signup sprint,,,,,,,,Done
fetched result is not related with searched substring,MO-59,10058,Bug,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,18/Feb/22 2:17 PM,18/Feb/22 3:58 PM,18/Feb/22 3:59 PM,,,0,"*Steps to reproduce:*

i) Navigate to the [http://elearningm1.upskills.in/|http://elearningm1.upskills.in/|smart-link] 

ii) Click on course catalog

iii) input value in search bar

*Expected result:*

Only those course should be fetched which is related to sub-string.

*Actual result:*

Fetched result is not related with search value.",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,MO-47,MO-50,,,,,,,,,,,,{},,,,0|i0009r:,,Signup sprint,,,,,,,,To Do
